x	y	z
181250	3820250	1483.491897
181750	3820250	1466.022118
182250	3820250	1495.865031
182750	3820250	1411.233598
183250	3820250	1403.1361
183750	3820250	1392.504917
184250	3820250	1472.623375
184750	3820250	1423.634729
185250	3820250	1427.879405
185750	3820250	1428.478506
186250	3820250	1431.662872
186750	3820250	1452.541859
187250	3820250	1468.085727
187750	3820250	1501.025019
188250	3820250	1580.015845
188750	3820250	1627.799389
189250	3820250	1692.199661
189750	3820250	1544.923047
190250	3820250	1503.514778
190750	3820250	1499.52654
191250	3820250	1484.653196
191750	3820250	1469.937033
192250	3820250	1466.699221
192750	3820250	1467.171006
193250	3820250	1534.862543
193750	3820250	1530.649059
194250	3820250	1533.229095
194750	3820250	1532.881058
195250	3820250	1546.122597
195750	3820250	1483.180461
196250	3820250	1499.260428
196750	3820250	1623.152523
197250	3820250	1648.936645
197750	3820250	1642.413386
198250	3820250	1617.765395
198750	3820250	1601.258981
199250	3820250	1615.930961
199750	3820250	1606.338887
200250	3820250	1592.563088
200750	3820250	1589.569778
201250	3820250	1593.971807
201750	3820250	1594.382801
202250	3820250	1603.77996
202750	3820250	1607.764952
203250	3820250	1594.83902
203750	3820250	1587.550547
204250	3820250	1572.761628
204750	3820250	1581.144782
205250	3820250	1581.384107
205750	3820250	1577.489289
206250	3820250	1569.104779
206750	3820250	1560.5
207250	3820250	1562.526412
207750	3820250	1565.582249
208250	3820250	1560.812764
208750	3820250	1552.548444
209250	3820250	1557.700118
209750	3820250	1556.890954
210250	3820250	1553.786701
210750	3820250	1554.913496
211250	3820250	1557.456866
211750	3820250	1553.5
212250	3820250	1554.802757
212750	3820250	1553.5
213250	3820250	1553.207277
213750	3820250	1553.713437
214250	3820250	1554.729539
214750	3820250	1553.861951
215250	3820250	1551.934974
215750	3820250	1555.198672
216250	3820250	1557.775621
216750	3820250	1558.388511
217250	3820250	1563.325096
217750	3820250	1572.330952
218250	3820250	1578.282153
218750	3820250	1739.487856
219250	3820250	1765.597028
219750	3820250	1759.032302
220250	3820250	1622.367567
220750	3820250	1623.709753
221250	3820250	1639.4529
221750	3820250	1664.003474
222250	3820250	1662.496853
222750	3820250	1672.702658
223250	3820250	1687.026444
223750	3820250	1680.369727
224250	3820250	1667.389184
224750	3820250	1653.677585
225250	3820250	1634.799529
225750	3820250	1644.07279
226250	3820250	1796.833301
226750	3820250	1669.751813
227250	3820250	1691.179223
227750	3820250	1703.633577
228250	3820250	1728.782499
228750	3820250	1762.616065
229250	3820250	1730.679441
229750	3820250	1731.839868
230250	3820250	1740.705324
230750	3820250	1734.079527
231250	3820250	1743.279542
231750	3820250	1758.493244
232250	3820250	1781.4877
232750	3820250	1710.85726
233250	3820250	1728.754666
233750	3820250	1668.786954
234250	3820250	1740.487649
234750	3820250	1717.188171
235250	3820250	1745.297899
235750	3820250	1768.418513
236250	3820250	1716.524144
236750	3820250	1720.087309
237250	3820250	1671.328072
237750	3820250	1659.771408
238250	3820250	1620.428522
238750	3820250	1591.125084
239250	3820250	1574.03575
239750	3820250	1607.319918
240250	3820250	1571.894892
240750	3820250	1587.927972
241250	3820250	1598.16365
241750	3820250	1598.463947
242250	3820250	1609.061828
242750	3820250	1595.259966
243250	3820250	1587.788042
243750	3820250	1570.014826
244250	3820250	1534.12114
244750	3820250	1551.720538
245250	3820250	1591.207574
245750	3820250	1582.163473
246250	3820250	1596.811714
246750	3820250	1622.116265
247250	3820250	1601.178201
247750	3820250	1585.347034
248250	3820250	1522.959222
248750	3820250	1566.943546
249250	3820250	1635.848634
249750	3820250	1725.877611
250250	3820250	1712.498746
250750	3820250	1683.103101
251250	3820250	2133.048595
251750	3820250	2071.682769
252250	3820250	2063.272831
252750	3820250	1685.278315
253250	3820250	1998.830394
253750	3820250	2060.231712
254250	3820250	1993.843087
254750	3820250	2003.827279
255250	3820250	1995.89793
255750	3820250	1283.40584
256250	3820250	1273.768787
256750	3820250	1277.353547
257250	3820250	1263.236818
257750	3820250	1247.099516
258250	3820250	1251.737751
258750	3820250	1253.187943
259250	3820250	1276.558922
